Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hab
2019,2,Tucumán,40.1360462142088,9.94246044080586
2019,1,Buenos Aires,66.2425552273681,21.6417378514192
2019,1,Capital Federal,109.196164558838,45.5791838994366
2019,1,Catamarca,32.1904889561213,8.18850462737457
2019,1,Chaco,32.6358765794295,8.72283500340746
2019,1,Chubut,42.997736337178,13.1803680616707
2019,1,Córdoba,65.5173840768055,20.0595276926967
2019,1,Corrientes,35.1349868869881,9.25199213887151
2019,1,Entre Ríos,56.7881599616928,16.9794023932903
2019,1,Formosa,29.6776946304319,7.55368578631946
2019,1,Jujuy,46.4084387403666,11.8678497610553
2019,1,La Pampa,76.3545743378065,25.1575166404727
2019,1,La Rioja,50.1845878832627,13.3594024786378
2019,1,Mendoza,37.6571649702829,10.5088620671738
2019,1,Misiones,36.2571682655235,9.87579609120626
2019,1,Neuquén,58.8780043343749,17.5264903960343
2019,1,Río Negro,53.5716497810025,16.478122478196
2019,1,Salta,40.0983444177161,9.71178101440345
2019,1,San Juan,31.8330580534655,8.10898201726592
2019,1,San Luis,67.3379373977716,19.2717794012915
2019,1,Santa Cruz,23.6676549967689,7.04269163445306
2019,1,Santa Fe,66.9740909479148,21.0598949173879
2019,1,Santiago Del Estero,37.5194167460039,9.3116162809496
2019,1,Tierra Del Fuego,93.3758192272124,27.6849257912618
2019,1,Tucumán,41.6307444313476,10.3126309673915
2018,4,Buenos Aires,64.6028466348432,21.0588338233985
2018,4,Capital Federal,108.273149970574,45.2493139403669
2018,4,Catamarca,32.2253461660253,8.19733354162497
2018,4,Chaco,32.5909608763298,8.7108351925502
2018,4,Chubut,42.6109360960454,13.0617297060522
2018,4,Córdoba,65.0892645911237,19.9284311751423
2018,4,Corrientes,34.5662765686955,9.10221065708079
2018,4,Entre Ríos,54.3747734863994,16.2577940353847
2018,4,Formosa,29.73653915732,7.56863913845701
2018,4,Jujuy,46.5322663913268,11.8994841924185
